Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_ZenLeftoversMedDescription,"It must have been recently discarded by a survivor. I wonder if they're still alive...","It must have been recently discarded by a survivor. I wonder if they're still alive...","Musel to být nedávno vyřazen přeživšímZajímalo by mě, jestli jsou ještě naživu.","Es muss kürzlich von einem Überlebenden weggeworfen worden seinIch frage mich, ob sie noch am Leben sind.","Должно быть, его недавно выбросил выживший.Интересно, они еще живы.","Musiał zostać niedawno wyrzucony przez ocalałegoCiekawe, czy jeszcze żyją.","Biztosan nemrég dobta ki egy túlélőKíváncsi vagyok, élnek-e még.","Deve essere stato scartato di recente da un sopravvissutoMi chiedo se siano ancora vivi.","Debe haber sido descartado recientemente por un sobreviviente.Me pregunto si todavía están vivos.","Il a dû être récemment abandonné par un survivantJe me demande s'ils sont encore en vie.","它一定是最近被倖存者丟棄的我想知道他們是否還活著.","最近生存者によって捨てられたに違いない彼らはまだ生きているのだろうか.","",""
STR_ZenLeftoversEmpty,"Empty","Empty","Prázdný","Leer","Пустой","Pusty","Üres","Vuoto","Vacío","Vide","空的","空の","",""
STR_ZenLeftoversUsed,"Used","Used","Použitý","Gebraucht","Использовал","Używany","Használt","Usato","Usado","Utilisé","用過的","使用済み","",""
STR_ZenArtilleryGrenade0,"Artillery Strike Signal","Artillery Strike Signal","Signál dělostřeleckého úderu","Artillerie-Angriffssignal","Сигнал артиллерийского удара","Sygnał uderzenia artylerii","Tüzérségi csapásjelző","Segnale di attacco dell'artiglieria","Señal de ataque de artillería","Signal de frappe d'artillerie","砲擊訊號","砲撃信号","",""
STR_ZenArtilleryGrenade1,"A bright red smoke grenade used to call in an artillery strike from the UN. Particularly useful against infected, but can also be lethal against humans. Make sure to throw it far away from you or else you risk danger-close bombs falling on you.","A bright red smoke grenade used to call in an artillery strike from the UN. Particularly useful against infected, but can also be lethal against humans. Make sure to throw it far away from you or else you risk danger-close bombs falling on you.","Jasně červený kouřový granát přivolával dělostřelecký úder OSNZvláště užitečné proti infikovaným, ale může být také smrtelné pro lidi. Ujistěte se, že ho házíte daleko od sebe, jinak riskujete, že na vás spadnou nebezpečné bomby.","Eine leuchtend rote Rauchgranate löste früher einen Artillerieangriff der UN ausBesonders nützlich gegen Infizierte, kann aber auch für Menschen tödlich sein. Stellen Sie sicher, dass Sie es weit weg von sich werfen, da Sie sonst Gefahr laufen, dass Bomben in unmittelbarer Nähe auf Sie fallen.","Ярко-красная дымовая граната вызывала артиллерийский удар ООНОсобенно полезен против зараженных, но может быть смертельным и для человека.. Обязательно бросайте его подальше от себя, иначе вы рискуете упасть на вас с близкого расстояния..","Jasnoczerwony granat dymny wzywał do ataku artyleryjskiego ONZSzczególnie przydatny przeciwko zarażonym, ale może być również zabójczy dla ludzi. Pamiętaj, aby rzucić go daleko od siebie, w przeciwnym razie ryzykujesz, że spadną na ciebie bomby z bliskiej odległości.","Egy élénkvörös füstgránát tüzérségi csapást mért az ENSZ-bőlKülönösen hasznos fertőzöttek ellen, de emberre is halálos lehet. Ügyeljen arra, hogy távolabb dobja magától, különben megkockáztatja, hogy veszélyes bombák esnek rátok.","Una granata fumogena rosso brillante veniva utilizzata per richiamare un attacco di artiglieria da parte delle Nazioni UniteParticolarmente utile contro gli infetti, ma può essere letale anche contro gli esseri umani. Assicurati di lanciarlo lontano da te, altrimenti rischi che bombe pericolose ti cadano addosso.","Una granada de humo de color rojo brillante utilizada para solicitar un ataque de artillería de la ONU.Particularmente útil contra infectados, pero también puede ser letal contra humanos.. Asegúrate de tirarlo lejos de ti o corres el riesgo de que te caigan bombas cercanas..","Une grenade fumigène rouge vif utilisée pour appeler à une frappe d'artillerie de l'ONUParticulièrement utile contre les infectés, mais peut aussi être mortel contre les humains. Assurez-vous de le jeter loin de vous, sinon vous risquez que des bombes dangereuses vous tombent dessus..","一枚鮮紅色的煙霧彈用來呼叫聯合國進行砲擊對感染者特別有用，但對人類也可能致命. 確保將其扔得離你很遠，否則你可能會面臨危險接近的炸彈落在你身上的風險.","国連の砲撃を呼び掛けるために使用された真っ赤な発煙手榴弾感染者に対して特に有効ですが、人間に対しては致命的になる可能性もあります. 必ず遠くに投げてください。そうしないと、危険な爆弾が落ちてくる危険があります。.","",""
STR_ZenArtilleryChemGrenade0,"Chemical Strike Signal","Chemical Strike Signal","Signál chemického úderu","Chemisches Angriffssignal","Сигнал химического удара","Sygnał uderzenia chemicznego","Chemical Strike Signal","Segnale di attacco chimico","Señal de ataque químico","Signal de frappe chimique","化學打擊訊號","ケミカルストライクシグナル","",""
STR_ZenArtilleryChemGrenade1,"A bright green smoke grenade used to call in a chemical artillery strike from the UN. Particularly useful against infected, but can also be lethal against humans. Make sure to throw it far away from you or else you risk danger-close bombs falling on you.","A bright green smoke grenade used to call in a chemical artillery strike from the UN. Particularly useful against infected, but can also be lethal against humans. Make sure to throw it far away from you or else you risk danger-close bombs falling on you.","Jasně zelený dýmový granát přivolával chemický dělostřelecký úder z OSNZvláště užitečné proti infikovaným, ale může být také smrtelné pro lidi. Ujistěte se, že ho házíte daleko od sebe, jinak riskujete, že na vás spadnou nebezpečné bomby.","Eine hellgrüne Rauchgranate löste früher einen chemischen Artillerieangriff der UN ausBesonders nützlich gegen Infizierte, kann aber auch für Menschen tödlich sein. Stellen Sie sicher, dass Sie es weit weg von sich werfen, da Sie sonst Gefahr laufen, dass Bomben in unmittelbarer Nähe auf Sie fallen.","Ярко-зеленая дымовая граната вызвала химический артиллерийский удар ООН.Особенно полезен против зараженных, но может быть смертельным и для человека.. Обязательно бросайте его подальше от себя, иначе вы рискуете упасть на вас с близкого расстояния..","Jasnozielony granat dymny wzywał do ataku artylerii chemicznej ONZSzczególnie przydatny przeciwko zarażonym, ale może być również zabójczy dla ludzi. Pamiętaj, aby rzucić go daleko od siebie, w przeciwnym razie ryzykujesz, że spadną na ciebie bomby z bliskiej odległości.","Élénkzöld füstgránáttal vegyi tüzérségi csapást mértek az ENSZ-bőlKülönösen hasznos fertőzöttek ellen, de emberre is halálos lehet. Ügyeljen arra, hogy távolabb dobja magától, különben megkockáztatja, hogy veszélyes bombák esnek rád.","Una granata fumogena verde brillante veniva utilizzata per richiedere un attacco di artiglieria chimica da parte delle Nazioni UniteParticolarmente utile contro gli infetti, ma può essere letale anche contro gli esseri umani. Assicurati di lanciarlo lontano da te, altrimenti rischi che bombe pericolose ti cadano addosso.","Una granada de humo verde brillante utilizada para solicitar un ataque de artillería química de la ONU.Particularmente útil contra infectados, pero también puede ser letal contra humanos.. Asegúrate de tirarlo lejos de ti o corres el riesgo de que te caigan bombas cercanas..","Une grenade fumigène vert vif utilisée pour appeler à une frappe d'artillerie chimique de l'ONUParticulièrement utile contre les infectés, mais peut aussi être mortel contre les humains. Assurez-vous de le jeter loin de vous, sinon vous risquez que des bombes dangereuses vous tombent dessus..","一枚亮綠色煙霧手榴彈用於呼叫聯合國發動化學炮攻擊對感染者特別有用，但對人類也可能致命. 確保把它扔得離你很遠，否則你就有危險近距離炸彈落在你身上的風險.","国連の化学砲撃を呼び掛けるために使用された明るい緑色の発煙手榴弾感染者に対して特に有効ですが、人間に対しては致命的になる可能性もあります. 必ず遠くに投げてください。そうしないと、危険な爆弾が落ちてくる危険があります。.","",""
STR_ZenRain_Txt,"Catch rain","Catch rain","Chytit déšť","Regen auffangen","Поймать дождь","Złap deszcz","Elkapni az esőt","Prendi la pioggia","atrapar la lluvia","Attraper la pluie","趕雨","雨を降らせる","",""
STR_ZenTireRackWheel,"Tire","Tire","Pneumatika","Reifen","Шина","Opona","Gumi","Pneumatico","Neumático","Pneu","胎","タイヤ","",""
STR_ZenTireRackName,"Tire Rack","Tire Rack","Stojan na pneumatiky","Reifenregal","Стойка для шин","Stojak na opony","Gumiabroncstartó","Rastrelliera per pneumatici","Estante para llantas","Support à pneus","輪胎架","タイヤラック","",""
STR_ZenTireRackDesc,"A great place to store tires","A great place to store tires","Skvělé místo pro uložení pneumatik","Ein toller Ort zum Aufbewahren von Reifen","Отличное место для хранения шин","Świetne miejsce do przechowywania opon","Kiváló hely a gumik tárolására","Un ottimo posto per riporre gli pneumatici","Un gran lugar para guardar neumáticos.","Un endroit idéal pour stocker les pneus","存放輪胎的好地方","タイヤを保管するのに最適な場所","",""
STR_ZenCraftTireRack,"Craft Tire Rack","Craft Tire Rack","Řemeslný stojan na pneumatiky","Craft-Reifenständer","Ремесленная стойка для шин","Rzemieślniczy stojak na opony","Kézműves gumiabroncstartó","Porta gomme artigianale","Estante para neumáticos artesanales","Support à pneus artisanal","製程輪胎架","クラフトタイヤラック","",""
STR_ZenChessBoardName,"Chessboard","Chessboard","Šachovnice","Schachbrett","шахматная доска","Szachownica","Sakktábla","Scacchiera","Tablero de ajedrez","Échiquier","棋盤","チェス盤","",""
STR_ZenChessBoardDesc,"A gameboard used to play chess, made from using a knife on a wooden plank. During play, the board is oriented such that each player's near-right corner square is a light square. The Queen is placed on the same color square as her piece's color. Pieces can be made by using a knife on bark.","A gameboard used to play chess, made from using a knife on a wooden plank. During play, the board is oriented such that each player's near-right corner square is a light square. The Queen is placed on the same color square as her piece's color. Pieces can be made by using a knife on bark.","Hrací deska používaná ke hraní šachů, vyrobená z použití nože na dřevěné desceBěhem hry je hrací deska orientována tak, že pole každého hráče v blízkosti pravého rohu je světlé pole. Královna je umístěna na stejném barevném čtverci, jako je barva její figurkyKusy lze vyrobit pomocí nože na kůru.","Ein Spielbrett zum Schachspielen, das aus der Verwendung eines Messers auf einem Holzbrett bestehtWährend des Spiels wird das Spielbrett so ausgerichtet, dass das Quadrat in der Nähe der rechten Ecke jedes Spielers ein helles Quadrat ist. Die Königin wird auf das gleiche Farbfeld wie die Farbe ihres Steins gesetztMit einem Messer können Stücke aus Rinde hergestellt werden.","Игровая доска для игры в шахматы, сделанная ножом на деревянной доске.Во время игры доска ориентирована таким образом, что почти правый угловой квадрат каждого игрока представляет собой светлый квадрат.. Ферзь размещается на поле того же цвета, что и цвет ее фигуры.Кусочки можно","Plansza do gry w szachy, wykonana z użycia noża na drewnianej descePodczas gry plansza jest zorientowana w taki sposób, że prawie prawy róg każdego gracza jest jasnym kwadratem. Królowa jest umieszczana na kwadracie tego samego koloru, co kolor jej pionkaKawałki można wykonać za pomocą noża na korze.","A sakkozáshoz használt játéktábla, amely egy fa deszkán lévő késsel készültA játék során a tábla úgy van elhelyezve, hogy minden játékos jobbhoz közeli sarokmezője világos négyzet legyen. A királynő ugyanolyan színű négyzetre kerül, mint a darabja színeDarabokat készíthetünk késsel a kéregre.","Un tabellone utilizzato per giocare a scacchi, realizzato utilizzando un coltello su una tavola di legnoDurante il gioco, il tabellone è orientato in modo tale che la casella nell'angolo vicino a destra di ogni giocatore sia una casella chiara. La Regina viene posizionata sulla casella dello stesso colore del colore del suo pezzoI pezzi possono essere realizzati utilizzando un coltello sulla corteccia.","Un tablero utilizado para jugar al ajedrez, hecho con un cuchillo sobre una tabla de madera.Durante el juego, el tablero está orientado de manera que el cuadrado de la esquina derecha de cada jugador sea un cuadrado claro.. La Reina se coloca en la casilla del mismo color que el color de su pieza.Se pueden hacer piezas usando un cuchillo sobre la corteza..","Un plateau de jeu utilisé pour jouer aux échecs, fabriqué à l'aide d'un couteau sur une planche de boisPendant le jeu, le plateau est orienté de telle sorte que la case du coin le plus à droite de chaque joueur soit une case claire.. La Reine est placée sur la même case de couleur que celle de sa pièce.Les morceaux peuvent être fabriqués en utilisant un couteau sur l'écorce.","用於下棋的遊戲板，由在木板上使用刀製成在遊戲過程中，棋盤的方向使得每個玩家的近右角方塊都是淺色方塊. 女王被放置在與她的棋子顏色相同的顏色方塊上可以用刀子在樹皮上製作碎片.","木の板にナイフを使って作られた、チェスをプレイするために使用されるゲーム盤プレイ中、ボードは各プレイヤーの右隅近くの正方形が明るい正方形になるように方向付けられます。. 女王は自分の駒の色と同じ色のマス目に配置されます樹皮にナイフを使って作品を作ることができます.","",""
STR_ZenChessPieceDesc,"A chess piece made from the bark of a tree","A chess piece made from the bark of a tree","Šachová figurka vyrobená z kůry stromu","Eine Schachfigur aus der Rinde eines Baumes","Шахматная фигура, сделанная из коры дерева.","Figura szachowa wykonana z kory drzewa","Egy fa kérgéből készült sakkfigura","Un pezzo degli scacchi ricavato dalla corteccia di un albero","Una pieza de ajedrez hecha con la corteza de un árbol.","Une pièce d'échec fabriquée à partir de l'écorce d'un arbre","用樹皮製成的棋子","木の皮から作られたチェスの駒","",""
STR_ZenChessPawn,"Pawn","Pawn","Pěšák","Bauer","Пешка","Pionek","Zálog","Impegnare","Empeñar","Pion","典當","ポーン","",""
STR_ZenChessBishop,"Bishop","Bishop","Biskup","Bischof","Епископ","Biskup","Püspök","Vescovo","obispo","Évêque","主教","司教","",""
STR_ZenChessKing,"King","King","Král","König","Король","Król","király","Re","Rey","Roi","國王","王","",""
STR_ZenChessKnight,"Knight","Knight","Rytíř","Ritter","Рыцарь","Rycerz","Lovag","Cavaliere","Caballero","Chevalier","騎士","騎士","",""
STR_ZenChessQueen,"Queen","Queen","Královna","Königin","Королева","królowa","Királynő","Regina","Reina","Reine","女王","女王","",""
STR_ZenChessRook,"Rook","Rook","Havran","Turm","ладья","Wieża","Rook","Torre","Torre","Tour","車","ルーク","",""
STR_ZenEarPlugsTxt,"Ear Plugs - Toggle On/Off","Ear Plugs - Toggle On/Off","Špunty do uší – Zapnutí/Vypnutí","Ohrstöpsel – Ein-/Ausschalten","Беруши – включение/выключение","Zatyczki do uszu — włączanie/wyłączanie","Füldugók – Be/Ki","Tappi per le orecchie: attiva/disattiva","Tapones para los oídos: activar/desactivar","Bouchons d'oreilles - Activer/Désactiver","耳塞 - 打開/關閉","耳栓 - オン/オフを切り替えます","",""
STR_ZenEarPlugsIncreaseTxt,"Ear Plugs - Increase Volume","Ear Plugs - Increase Volume","Špunty do uší - Zvyšte hlasitost","Ohrstöpsel – erhöhen die Lautstärke","Беруши – увеличение громкости","Zatyczki do uszu – zwiększ głośność","Füldugók – Hangerő növelése","Tappi per le orecchie: aumenta il volume","Tapones para los oídos - Aumentar el volumen","Bouchons d'oreilles - Augmenter le volume","耳塞 - 增加音量","耳栓 - 音量を上げる","",""
STR_ZenEarPlugsDecreaseTxt,"Ear Plugs - Decrease Volume","Ear Plugs - Decrease Volume","Špunty do uší - Snížení hlasitosti","Ohrstöpsel – Lautstärke verringern","Беруши – уменьшение громкости","Zatyczki do uszu – zmniejszenie głośności","Füldugók – Hangerő csökkentése","Tappi per le orecchie - Diminuisci il volume","Tapones para los oídos - Disminuir el volumen","Bouchons d'oreilles - Diminuer le volume","耳塞 - 降低音量","耳栓 - 音量を下げる","",""
STR_CraftZenCamoShelterKit,"Craft camo shelter kit","Craft camo shelter kit","Řemeslná sada camo přístřešku","Craft-Camouflage-Set","Комплект камуфляжного убежища","Zestaw schronu do kamuflażu Craft","Kézműves terepjáró menedékkészlet","Kit di protezione mimetica artigianale","Kit de refugio de camuflaje artesanal","Kit d'abri camouflage artisanal","工藝迷彩避難所套件","クラフト迷彩シェルターキット","",""
STR_ZenAutoRunTxt,"AutoRun - Toggle On/Off","AutoRun - Toggle On/Off","AutoRun - Zapnutí/vypnutí","AutoRun – Ein-/Ausschalten","Автозапуск – включение/выключение","Automatyczne uruchamianie — włączanie/wyłączanie","AutoRun – Be/Ki","Esecuzione automatica: attiva/disattiva","Ejecución automática: activar/desactivar","AutoRun - Activer/Désactiver","自動運轉 - 切換開/關","自動実行 - オン/オフを切り替えます","",""
STR_Rotate,"Rotate","Rotate","Střídat","Drehen","Повернуть","Obracać","Forog","Ruotare","Girar","Tourner","旋轉","回転します","Girar","旋转"
STR_CfgVehicles_ZenZippoLighter0,"Zippo","Zippo","Zippo","Zippo","Зиппо","Zippo","Zippo","Zippo","Zippo","Zippo","之寶","ジッポー","",""
STR_CfgVehicles_ZenZippoLighter1,"A trusty and sturdy refillable Zippo lighter. Looks old, but reliable.","A trusty and sturdy refillable Zippo lighter. Looks old, but reliable.","Spolehlivý a robustní plnitelný zapalovač ZippoVypadá staře, ale spolehlivě.","Ein zuverlässiges und robustes nachfüllbares Zippo-FeuerzeugSieht alt aus, aber zuverlässig.","Надежная и прочная многоразовая зажигалка Zippo.Выглядит старым, но надежным.","Niezawodna i wytrzymała zapalniczka Zippo z możliwością wielokrotnego napełnianiaWygląda na stary, ale niezawodny.","Megbízható és masszív újratölthető Zippo öngyújtóRéginek tűnik, de megbízható.","Un accendino Zippo ricaricabile affidabile e robustoSembra vecchio, ma affidabile.","Un encendedor Zippo recargable confiable y resistenteParece viejo, pero confiable..","Un briquet Zippo rechargeable fiable et robusteIl a l'air vieux, mais fiable.","值得信賴且堅固的可再填充 Zippo 打火機看起來很舊，但可靠.","信頼できる頑丈な詰め替え可能なZippoライター見た目は古いけど信頼できる.","",""
STR_CfgVehicles_ZenRune0,"Rune","Rune","Runa","Rune","Руна","Runa","Rúna","Runa","Runa","Rune","符文","ルーン","",""
STR_CfgVehicles_ZenRune1,"Some sort of rune used for magic rituals. I wonder if it actually works...","Some sort of rune used for magic rituals. I wonder if it actually works...","Nějaký druh runy používané pro magické rituályZajímalo by mě, jestli to skutečně funguje.","Eine Art Rune, die für magische Rituale verwendet wirdIch frage mich, ob es tatsächlich funktioniert.","Какая-то руна, используемая в магических ритуалах.Интересно, действительно ли это работает.","Jakiś rodzaj runy używanej do magicznych rytuałówZastanawiam się, czy to rzeczywiście działa.","Valamilyen rúna, amelyet mágikus rituálékhoz használnakKíváncsi vagyok, valóban működik-e.","Una sorta di runa usata per rituali magiciMi chiedo se funzioni davvero.","Algún tipo de runa utilizada para rituales mágicos.Me pregunto si realmente funciona.","Une sorte de rune utilisée pour les rituels magiquesJe me demande si ça marche réellement.","用於魔法儀式的某種符文我想知道它是否真的有效.","魔法の儀式に使用されるある種のルーン文字本当に効果あるのかな.","",""
STR_CfgVehicles_ZenWhisky0,"Jameson Whisky","Jameson Whisky","Jameson Whisky","Jameson Whisky","Джеймсон Виски","Whisky Jamesona","Jameson whisky","Whisky Jameson","whisky jameson","Whisky Jameson","尊美醇威士忌","ジェムソン ウイスキー","",""
STR_CfgVehicles_ZenWhisky1,"Smooth Irish whisky made the John Jameson way since 1780.","Smooth Irish whisky made the John Jameson way since 1780.","Hladká irská whiskey vyráběná způsobem Johna Jamesona od roku 1780","Sanfter irischer Whisky, seit 1780 nach John Jameson-Art hergestellt","Гладкий ирландский виски прославился Джоном Джеймсоном с 1780 года.","Gładka irlandzka whisky podążała drogą Johna Jamesona od 1780 roku","A sima ír whisky 1780 óta a John Jameson módjára készült","Il morbido whisky irlandese è prodotto secondo la tradizione di John Jameson dal 1780","Whisky irlandés suave elaborado al estilo John Jameson desde 1780","Whisky irlandais doux fabriqué à la manière de John Jameson depuis 1780","自 1780 年以來，柔滑的愛爾蘭威士忌一直是約翰詹姆森 (John Jameson) 的風格","1780 年以来、ジョン ジェムソンのやり方で作られた滑らかなアイリッシュ ウイスキー","",""
STR_CfgVehicles_ZenWhisky2,"This bottle used to contain whisky, but I guess a survivor got pretty thirsty...","This bottle used to contain whisky, but I guess a survivor got pretty thirsty...","Tato láhev dříve obsahovala whisky, ale myslím, že přeživší dostal docela žízeň","Diese Flasche enthielt früher Whisky, aber ich schätze, ein Überlebender war ziemlich durstig","Раньше в этой бутылке был виски, но, думаю, выжившему очень хотелось пить.","W tej butelce była kiedyś whisky, ale myślę, że ktoś, kto przeżył, był bardzo spragniony","Ez az üveg whiskyt tartalmazott, de azt hiszem, egy túlélő nagyon megszomjazott","Questa bottiglia conteneva whisky, ma immagino che un sopravvissuto avesse una bella sete","Esta botella solía contener whisky, pero supongo que un superviviente tuvo mucha sed.","Cette bouteille contenait du whisky, mais je suppose qu'un survivant a eu assez soif","這瓶酒以前裝的是威士忌，但我猜倖存者已經很渴了","このボトルにはウィスキーが入っていましたが、生存者はかなり喉が渇いていたのでしょう","",""
STR_CfgVehicles_ZenRabbitMask0,"Rabbit Mask","Rabbit Mask","Maska králíka","Kaninchenmaske","Маска кролика","Maska Królika","Nyúl maszk","Maschera da coniglio","Máscara de conejo","Masque de lapin","兔子麵具","ウサギのマスク","",""
STR_CfgVehicles_ZenRabbitMask1,"An Easter bunny rabbit mask.","An Easter bunny rabbit mask.","Maska velikonočního králíka","Eine Osterhasen-Kaninchenmaske","Маска пасхального кролика.","Maska króliczka wielkanocnego","Húsvéti nyuszi nyúl maszk","Una maschera da coniglietto pasquale","Una máscara de conejo de Pascua","Un masque de lapin de Pâques","復活節兔子麵具","イースターバニーウサギのマスク","",""
STR_CfgVehicles_ZenRayBans0,"Ray-Ban Wayfarers","Ray-Ban Wayfarers","Ray-Ban Wayfarers","Ray-Ban Wayfarer","Ray-Ban Wayfarers","Ray-Ban Wayfarers","Ray-Ban Wayfarers","Ray-Ban Wayfarer","Caminantes Ray-Ban","Ray-Ban Wayfarers","雷朋徒步旅行者","レイバン ウェイファーラー","",""
STR_CfgVehicles_ZenRayBans1,"Are you gonna bark all day, little doggy, or are you gonna bite?","Are you gonna bark all day, little doggy, or are you gonna bite?","Budeš celý den štěkat, pejsku, nebo budeš kousat?","Wirst du den ganzen Tag bellen, kleiner Hund, oder wirst du beißen?","Ты будешь лаять весь день, маленькая собачка, или собираешься укусить?","Będziesz szczekał cały dzień, psiaku, czy będziesz gryzł","Egész nap ugatsz, kis kutyus, vagy harapsz?","Abbaierai tutto il giorno, cagnolino, o morderai?","¿Vas a ladrar todo el día, perrito, o vas a morder?","Vas-tu aboyer toute la journée, petit chien, ou vas-tu mordre","小狗狗，你會整天吠叫，還是會咬人？","一日中吠えるつもりですか、子犬ちゃん、それとも噛むつもりですか","",""
STR_CfgVehicles_ZenGlovebox,"Glovebox","Glovebox","Schránka na rukavice","Handschuhfach","Бардачок","Pudełko na rękawiczki","Kesztyűtartó","Scatola di guanti","guantera","Boite à gants","手套箱","グローブボックス","",""
STR_CfgVehicles_ZenDamagedBox,"It's badly damaged, if I try to pick it up it's going to fall to pieces.","It's badly damaged, if I try to pick it up it's going to fall to pieces.","Je těžce poškozený, když se ho pokusím zvednout, rozpadne se na kusy","Es ist stark beschädigt, wenn ich versuche, es aufzuheben, wird es auseinanderfallen","Он сильно поврежден, если я попытаюсь его поднять, он развалится на куски.","Jest poważnie uszkodzony, jeśli spróbuję go podnieść, rozpadnie się na kawałki","Súlyosan sérült, ha megpróbálom felvenni darabokra hullik","È molto danneggiato, se provo a raccoglierlo cadrà a pezzi","Está muy dañado, si intento levantarlo se va a caer en pedazos.","Il est très endommagé, si j'essaye de le ramasser, il va tomber en morceaux","它已嚴重損壞，如果我試圖撿起它，它就會碎成碎片","かなり傷んでいて、持ち上げようとすると粉々になってしまいそう","",""
STR_CfgVehicles_ZenPhoto0,"Old Photo","Old Photo","Stará fotka","Altes Foto","Старая фотография","Stare zdjęcie","Régi fénykép","Vecchia foto","Foto vieja","Vieille photo","舊照片","古い写真","",""
STR_CfgVehicles_ZenPhoto1,"A mysterious photograph - something is written on the back...","A mysterious photograph - something is written on the back...","Tajemná fotografie - na zadní straně je něco napsáno","Ein mysteriöses Foto – auf der Rückseite steht etwas geschrieben","Загадочная фотография - на обороте что-то написано","Tajemnicza fotografia - na odwrocie jest coś napisane","Egy titokzatos fénykép – a hátuljára van írva valami","Una fotografia misteriosa: sul retro c'è scritto qualcosa","Una fotografía misteriosa: algo está escrito en el reverso.","Une photographie mystérieuse - quelque chose est écrit au dos","一張神祕的照片——背面寫著什麼","謎の写真 裏に何か書かれている","",""
STR_CfgVehicles_ZenWolfMask0,"Wolf Mask","Wolf Mask","Vlčí maska","Wolfsmaske","Маска Волка","Maska Wilka","Farkas maszk","Maschera di lupo","Máscara de lobo","Masque de loup","狼面具","オオカミのマスク","",""
